,B-PX211453,B-PX211376,B-PX211374,A-PX211436,A-PX211473,A-PX211438,B-MH182449,A-MN479581,A-PP861813,A-PP861823,A-OP850377,A-MG181893,A-MG181772,A-MW715610,A-LC105572,A-KJ752156,A-KC443002,A-KU356580,A-HQ641359,A-LC569277,A-LC477540,A-LC228343,A-LC228376,A-LC228354,A-LC569260,A-LC569232,A-OP717689,A-OP717686,A-MG181662,A-HQ657133,A-KR705196,A-KC443340,A-KC443362,A-KC443217,A-KC834696,A-KJ918784,A-KC443351,A-PP861879,A-PP861825,A-OP850378,A-LC514509,A-LC514476,A-KF716387,A-LC169990,A-LC169979,A-KJ721779,A-KJ721773,A-KJ721783,A-MN479504,A-MN479500,A-MN479492,A-MN479491,A-MN479445,A-MG670727,A-MG670724,A-LC105583,A-KF716394,A-KF716391,A-KC442958,A-KJ721778,A-KC178724,A-KC442969,A-KU248411,A-KU248400,A-KU199276,B-LC514520,B-KC178718,B-KC443450,B-KC443195,B-KC443758,B-KC443626,B-KC443318,B-KJ918850,B-LC086808,B-LC086797,B-LC086786,B-MH704726,B-LC325466,B-MH513958,B-KU550300,B-KU550298,B-KU870411,B-KU870389,B-MF997041,B-OP850382,B-OP850381,B-OP850384,B-OP850383,B-OP850379,B-LC260283,B-LC514487,B-MH513953,B-LC228310,B-LC514498,B-MZ546118,B-KU550301,B-KU550299,B-KX880420,B-KU550302,B-LC541988,B-MH704727,B-LC228332,B-LC228321,B-LC260279,B-MT732493,B-LC386071,B-LC086742,B-LC169968,B-LC169957,B-LC169946,B-LC260277,B-KX880431,B-MG670730,B-MG670726,B-MG670729,B-LC086731,B-LC086720,B-KU059794,B-KU059783,B-KU059772,B-MG670722,B-MG670713,B-KJ639029,B-KJ639018,B-AB975803,B-AB975775,B-AB848010,B-LC751572,B-LC751602,B-KY616889,B-AB975804,B-AB975773,B-MT723912,B-MT410490,B-LC469507,B-MG573358,B-MG573357,B-LC066645,B-LC066667,B-LC066656
B-KC443450,95.79,96.00,95.44,93.62,93.13,93.55,97.52,97.25,96.90,96.76,97.04,96.49,96.49,96.56,96.76,96.56,97.87,97.93,97.80,97.04,96.90,96.97,96.97,96.97,97.04,97.04,96.76,96.76,97.18,96.76,97.31,97.18,96.69,96.69,96.90,96.56,96.63,96.21,96.28,96.42,96.56,96.49,96.63,96.69,96.69,96.83,97.04,97.18,96.90,97.04,97.04,97.04,97.04,97.93,98.00,98.07,98.28,98.14,98.35,98.42,98.55,98.55,98.55,98.76,98.83,98.35,98.69,,99.93,99.17,99.17,99.17,99.24,98.90,99.04,99.10,98.76,98.48,98.28,98.69,98.69,98.76,98.76,98.62,98.35,98.21,98.28,98.28,98.28,98.76,98.35,98.62,98.83,98.55,98.55,98.69,98.69,98.76,98.76,98.42,98.48,98.42,98.42,98.48,98.90,98.97,98.97,98.90,98.90,98.90,98.76,98.76,98.90,98.90,98.83,99.17,99.17,99.17,99.24,99.24,98.97,99.10,98.97,99.04,98.95,99.02,98.97,98.97,99.04,99.04,99.09,99.09,98.90,98.97,98.90,99.17,99.17,99.10,99.10,99.17
B-KC443195,95.79,96.00,95.44,93.62,93.13,93.55,97.59,97.31,96.97,96.83,97.11,96.56,96.56,96.63,96.83,96.63,97.93,98.00,97.87,97.11,96.97,97.04,97.04,97.04,97.11,97.11,96.83,96.83,97.25,96.83,97.38,97.25,96.76,96.76,96.97,96.63,96.69,96.28,96.35,96.49,96.63,96.56,96.69,96.76,96.76,96.90,97.11,97.25,96.97,97.11,97.11,97.11,97.11,98.00,98.07,98.14,98.35,98.21,98.42,98.48,98.62,98.62,98.62,98.83,98.90,98.42,98.76,99.93,,99.24,99.24,99.24,99.31,98.97,99.10,99.17,98.83,98.55,98.35,98.76,98.76,98.83,98.83,98.69,98.42,98.28,98.35,98.35,98.35,98.83,98.42,98.69,98.90,98.62,98.62,98.76,98.76,98.83,98.83,98.48,98.55,98.48,98.48,98.55,98.97,99.04,99.04,98.97,98.97,98.97,98.83,98.83,98.97,98.97,98.90,99.24,99.24,99.24,99.31,99.31,99.04,99.17,99.04,99.10,99.02,99.09,99.04,99.04,99.10,99.10,99.16,99.16,98.97,99.04,98.97,99.24,99.24,99.17,99.17,99.24
B-KC443758,95.51,95.72,95.16,93.06,92.85,93.27,98.07,97.52,97.18,97.04,97.31,96.76,96.76,96.69,97.04,96.83,98.21,98.35,98.21,97.18,97.04,97.11,97.11,97.11,97.18,97.18,96.90,96.90,97.52,97.04,97.45,97.38,96.97,96.97,97.18,96.83,96.90,96.49,96.56,96.69,96.83,96.76,96.90,96.97,96.97,97.11,97.31,97.45,97.18,97.31,97.31,97.31,97.31,98.28,98.35,98.48,98.69,98.55,98.69,98.83,98.97,98.97,98.97,99.17,99.24,98.90,99.24,99.17,99.24,,100.00,100.00,99.38,99.04,99.17,99.24,98.90,98.62,98.48,98.83,98.83,98.90,98.90,98.76,98.48,98.35,98.42,98.42,98.42,98.76,98.62,98.62,98.97,98.69,98.69,98.83,98.83,98.90,98.90,98.55,98.62,98.55,98.55,98.62,99.04,99.10,99.10,99.04,99.04,99.04,98.90,98.90,99.04,99.04,98.97,99.31,99.31,99.31,99.38,99.38,99.10,99.24,99.10,99.17,99.02,99.09,99.10,99.10,99.17,99.17,99.16,99.16,99.04,99.10,99.04,99.31,99.31,99.24,99.24,99.31
B-KC443626,95.51,95.72,95.16,93.06,92.85,93.27,98.07,97.52,97.18,97.04,97.31,96.76,96.76,96.69,97.04,96.83,98.21,98.35,98.21,97.18,97.04,97.11,97.11,97.11,97.18,97.18,96.90,96.90,97.52,97.04,97.45,97.38,96.97,96.97,97.18,96.83,96.90,96.49,96.56,96.69,96.83,96.76,96.90,96.97,96.97,97.11,97.31,97.45,97.18,97.31,97.31,97.31,97.31,98.28,98.35,98.48,98.69,98.55,98.69,98.83,98.97,98.97,98.97,99.17,99.24,98.90,99.24,99.17,99.24,100.00,,100.00,99.38,99.04,99.17,99.24,98.90,98.62,98.48,98.83,98.83,98.90,98.90,98.76,98.48,98.35,98.42,98.42,98.42,98.76,98.62,98.62,98.97,98.69,98.69,98.83,98.83,98.90,98.90,98.55,98.62,98.55,98.55,98.62,99.04,99.10,99.10,99.04,99.04,99.04,98.90,98.90,99.04,99.04,98.97,99.31,99.31,99.31,99.38,99.38,99.10,99.24,99.10,99.17,99.02,99.09,99.10,99.10,99.17,99.17,99.16,99.16,99.04,99.10,99.04,99.31,99.31,99.24,99.24,99.31
B-KC443318,95.51,95.72,95.16,93.06,92.85,93.27,98.07,97.52,97.18,97.04,97.31,96.76,96.76,96.69,97.04,96.83,98.21,98.35,98.21,97.18,97.04,97.11,97.11,97.11,97.18,97.18,96.90,96.90,97.52,97.04,97.45,97.38,96.97,96.97,97.18,96.83,96.90,96.49,96.56,96.69,96.83,96.76,96.90,96.97,96.97,97.11,97.31,97.45,97.18,97.31,97.31,97.31,97.31,98.28,98.35,98.48,98.69,98.55,98.69,98.83,98.97,98.97,98.97,99.17,99.24,98.90,99.24,99.17,99.24,100.00,100.00,,99.38,99.04,99.17,99.24,98.90,98.62,98.48,98.83,98.83,98.90,98.90,98.76,98.48,98.35,98.42,98.42,98.42,98.76,98.62,98.62,98.97,98.69,98.69,98.83,98.83,98.90,98.90,98.55,98.62,98.55,98.55,98.62,99.04,99.10,99.10,99.04,99.04,99.04,98.90,98.90,99.04,99.04,98.97,99.31,99.31,99.31,99.38,99.38,99.10,99.24,99.10,99.17,99.02,99.09,99.10,99.10,99.17,99.17,99.16,99.16,99.04,99.10,99.04,99.31,99.31,99.24,99.24,99.31
B-KJ918850,96.07,95.72,95.16,93.06,92.57,92.99,97.73,97.45,97.11,96.97,97.25,96.56,96.56,96.49,96.83,96.63,98.00,98.14,98.00,96.97,96.83,96.90,96.90,96.90,96.97,96.97,96.69,96.69,97.25,96.83,97.25,97.11,96.76,96.76,96.97,96.63,96.69,96.28,96.35,96.49,96.63,96.56,96.69,96.76,96.76,97.04,97.11,97.25,96.97,97.11,97.11,97.11,97.11,98.07,98.14,98.28,98.48,98.35,98.48,98.62,98.76,98.76,98.76,98.97,99.04,98.55,98.90,99.24,99.31,99.38,99.38,99.38,,99.52,99.66,99.72,98.97,98.69,98.48,98.90,98.90,98.97,98.97,98.97,98.55,98.42,98.48,98.48,98.48,98.83,98.55,98.69,99.04,98.76,98.76,98.90,98.90,98.97,98.97,98.62,98.69,98.62,98.62,98.69,99.10,99.17,99.17,99.10,99.10,99.10,98.97,98.97,99.10,99.10,99.04,99.38,99.38,99.38,99.45,99.45,99.17,99.31,99.17,99.24,99.09,99.16,99.17,99.17,99.24,99.24,99.23,99.23,99.10,99.17,99.10,99.38,99.38,99.31,99.31,99.38
B-LC086808,96.07,95.44,94.88,93.06,92.57,92.71,97.38,97.38,97.04,96.90,97.18,96.49,96.49,96.42,96.76,96.56,97.93,98.07,97.93,96.90,96.76,96.83,96.83,96.83,96.90,96.90,96.63,96.63,97.18,96.76,97.18,97.04,96.69,96.69,96.90,96.56,96.63,96.21,96.28,96.42,96.56,96.49,96.63,96.69,96.69,96.97,97.04,97.18,96.90,97.04,97.04,97.04,97.04,98.00,98.07,98.21,98.42,98.28,98.28,98.55,98.69,98.69,98.69,98.90,98.97,98.21,98.55,98.90,98.97,99.04,99.04,99.04,99.52,,99.72,99.79,98.62,98.35,98.14,98.55,98.55,98.62,98.62,98.62,98.21,98.07,98.14,98.14,98.14,98.48,98.21,98.35,98.69,98.42,98.42,98.55,98.55,98.62,98.62,98.28,98.35,98.28,98.28,98.35,98.76,98.83,98.83,98.76,98.76,98.76,98.62,98.62,98.76,98.76,98.69,99.04,99.04,99.04,99.10,99.10,98.83,98.97,98.83,98.90,98.74,98.81,98.83,98.83,98.90,98.90,98.88,98.88,98.76,98.83,98.90,99.04,99.04,98.97,98.97,99.04
B-LC086797,96.35,95.72,95.16,93.06,92.57,92.99,97.66,97.38,97.04,96.90,97.18,96.49,96.49,96.42,96.76,96.56,97.93,98.21,98.07,96.90,96.76,96.83,96.83,96.83,96.90,96.90,96.63,96.63,97.18,96.76,97.18,97.18,96.69,96.69,96.90,96.56,96.63,96.21,96.28,96.42,96.56,96.49,96.63,96.69,96.69,96.97,97.04,97.18,96.90,97.04,97.04,97.04,97.04,98.00,98.07,98.21,98.42,98.28,98.42,98.55,98.69,98.69,98.69,98.90,98.97,98.35,98.69,99.04,99.10,99.17,99.17,99.17,99.66,99.72,,99.93,98.76,98.48,98.28,98.69,98.69,98.76,98.76,98.76,98.35,98.21,98.28,98.28,98.28,98.62,98.35,98.48,98.83,98.55,98.55,98.69,98.69,98.76,98.76,98.42,98.48,98.42,98.42,98.48,98.90,98.97,98.97,98.90,98.90,98.90,98.76,98.76,98.90,98.90,98.83,99.17,99.17,99.17,99.24,99.24,98.97,99.10,98.97,99.04,98.88,98.95,98.97,98.97,99.04,99.04,99.02,99.02,98.90,98.97,99.04,99.17,99.17,99.10,99.10,99.17
B-LC086786,96.35,95.72,95.16,93.06,92.57,92.99,97.59,97.45,97.11,96.97,97.25,96.56,96.56,96.49,96.83,96.63,98.00,98.14,98.00,96.97,96.83,96.90,96.90,96.90,96.97,96.97,96.69,96.69,97.25,96.83,97.25,97.11,96.76,96.76,96.97,96.63,96.69,96.28,96.35,96.49,96.63,96.56,96.69,96.76,96.76,97.04,97.11,97.25,96.97,97.11,97.11,97.11,97.11,98.07,98.14,98.28,98.48,98.35,98.48,98.62,98.76,98.76,98.76,98.97,99.04,98.42,98.76,99.10,99.17,99.24,99.24,99.24,99.72,99.79,99.93,,98.83,98.55,98.35,98.76,98.76,98.83,98.83,98.83,98.42,98.28,98.35,98.35,98.35,98.69,98.42,98.55,98.90,98.62,98.62,98.76,98.76,98.83,98.83,98.48,98.55,98.48,98.48,98.55,98.97,99.04,99.04,98.97,98.97,98.97,98.83,98.83,98.97,98.97,98.90,99.24,99.24,99.24,99.31,99.31,99.04,99.17,99.04,99.10,98.95,99.02,99.04,99.04,99.10,99.10,99.09,99.09,98.97,99.04,99.10,99.24,99.24,99.17,99.17,99.24
B-MH704726,95.51,96.28,95.72,93.06,92.85,92.99,97.25,96.83,96.49,96.49,96.63,96.07,96.07,96.01,96.35,96.14,97.52,97.66,97.52,96.49,96.49,96.42,96.42,96.42,96.49,96.49,96.35,96.35,96.76,96.63,96.76,96.63,96.42,96.42,96.76,96.42,96.49,95.94,96.01,96.14,96.28,96.21,96.35,96.42,96.42,96.56,96.76,96.90,96.63,96.76,96.76,96.76,96.76,97.59,97.66,97.80,98.00,97.87,98.00,98.14,98.28,98.28,98.28,98.48,98.55,98.07,98.42,98.76,98.83,98.90,98.90,98.90,98.97,98.62,98.76,98.83,,99.45,99.10,99.52,99.52,99.59,99.59,99.45,99.17,99.04,99.10,99.10,99.10,99.45,99.17,99.31,99.79,99.31,99.38,99.52,99.52,99.59,99.59,98.69,98.76,98.69,98.69,98.76,99.17,99.10,99.24,99.17,99.17,99.17,99.04,99.04,99.04,99.04,98.97,99.31,99.31,99.31,99.38,99.38,99.10,99.24,99.10,99.17,99.16,99.23,99.24,99.24,99.31,99.31,99.30,99.30,99.04,99.10,99.17,99.45,99.45,99.38,99.38,99.45
B-LC325466,95.09,95.86,95.30,92.64,92.15,92.57,96.97,96.56,96.21,96.21,96.35,95.94,95.94,95.87,96.21,96.01,97.25,97.38,97.25,96.21,96.21,96.14,96.14,96.14,96.21,96.21,95.94,95.94,96.49,96.35,96.49,96.35,96.14,96.14,96.35,96.01,96.07,95.66,95.73,95.87,96.01,95.94,96.07,96.14,96.14,96.28,96.49,96.63,96.35,96.49,96.49,96.49,96.49,97.31,97.38,97.52,97.73,97.59,97.73,97.87,98.00,98.00,98.00,98.21,98.28,97.80,98.14,98.48,98.55,98.62,98.62,98.62,98.69,98.35,98.48,98.55,99.45,,98.83,99.24,99.24,99.31,99.31,99.17,98.90,98.76,98.83,98.83,98.83,99.17,98.90,99.04,99.38,99.04,99.10,99.24,99.24,99.31,99.31,98.42,98.48,98.42,98.42,98.48,98.90,98.83,98.97,98.90,98.90,98.90,98.76,98.76,98.76,98.76,98.69,99.04,99.04,99.04,99.10,99.10,98.83,98.97,98.83,98.90,98.88,98.95,99.10,98.97,99.04,99.04,99.02,99.02,98.76,98.83,98.90,99.17,99.17,99.10,99.10,99.17
B-MH513958,95.23,96.00,95.44,93.06,92.57,92.99,96.76,96.49,96.28,96.14,96.28,95.73,95.80,95.66,96.01,95.80,97.04,97.18,97.04,96.14,96.01,96.07,96.07,96.07,96.14,96.14,95.87,95.87,96.56,96.28,96.42,96.42,96.07,96.07,96.28,95.94,96.01,95.59,95.66,95.80,95.94,95.87,96.01,96.07,96.07,96.21,96.42,96.56,96.28,96.42,96.42,96.42,96.42,97.11,97.18,97.31,97.66,97.52,97.52,97.66,97.80,97.80,97.80,98.00,98.07,97.59,98.07,98.28,98.35,98.48,98.48,98.48,98.48,98.14,98.28,98.35,99.10,98.83,,99.04,99.04,99.10,99.10,98.97,98.97,98.83,98.90,98.90,98.90,98.97,98.97,99.24,99.17,99.10,99.17,99.31,99.31,99.38,99.38,98.21,98.28,98.21,98.21,98.42,98.69,98.62,98.76,98.69,98.69,98.69,98.55,98.55,98.55,98.55,98.48,98.83,98.83,98.83,98.90,98.90,98.62,98.76,98.62,98.69,98.68,98.74,98.76,98.90,98.83,98.83,98.81,98.81,98.55,98.62,98.69,98.97,98.97,98.90,98.90,98.97
B-KU550300,95.51,96.28,95.72,93.06,92.57,92.99,97.18,96.76,96.42,96.42,96.56,96.01,96.01,95.94,96.28,96.21,97.45,97.59,97.45,96.42,96.28,96.35,96.35,96.35,96.42,96.42,96.14,96.14,96.69,96.56,96.83,96.56,96.35,96.35,96.56,96.21,96.28,95.87,95.94,96.07,96.21,96.14,96.28,96.35,96.35,96.49,96.69,96.83,96.56,96.69,96.69,96.69,96.69,97.52,97.59,97.73,97.93,97.80,97.93,98.07,98.21,98.21,98.21,98.42,98.48,98.00,98.35,98.69,98.76,98.83,98.83,98.83,98.90,98.55,98.69,98.76,99.52,99.24,99.04,,100.00,99.79,99.79,99.38,99.10,98.97,99.04,99.04,99.04,99.38,99.10,99.24,99.59,99.24,99.31,99.45,99.45,99.52,99.52,98.62,98.69,98.62,98.62,98.69,99.10,99.04,99.17,99.10,99.10,99.10,98.97,98.97,98.97,98.97,98.90,99.24,99.24,99.24,99.31,99.31,99.04,99.17,99.04,99.10,99.09,99.16,99.17,99.17,99.24,99.24,99.23,99.23,98.97,99.04,99.10,99.38,99.38,99.31,99.31,99.38
B-KU550298,95.51,96.28,95.72,93.06,92.57,92.99,97.18,96.76,96.42,96.42,96.56,96.01,96.01,95.94,96.28,96.21,97.45,97.59,97.45,96.42,96.28,96.35,96.35,96.35,96.42,96.42,96.14,96.14,96.69,96.56,96.83,96.56,96.35,96.35,96.56,96.21,96.28,95.87,95.94,96.07,96.21,96.14,96.28,96.35,96.35,96.49,96.69,96.83,96.56,96.69,96.69,96.69,96.69,97.52,97.59,97.73,97.93,97.80,97.93,98.07,98.21,98.21,98.21,98.42,98.48,98.00,98.35,98.69,98.76,98.83,98.83,98.83,98.90,98.55,98.69,98.76,99.52,99.24,99.04,100.00,,99.79,99.79,99.38,99.10,98.97,99.04,99.04,99.04,99.38,99.10,99.24,99.59,99.24,99.31,99.45,99.45,99.52,99.52,98.62,98.69,98.62,98.62,98.69,99.10,99.04,99.17,99.10,99.10,99.10,98.97,98.97,98.97,98.97,98.90,99.24,99.24,99.24,99.31,99.31,99.04,99.17,99.04,99.10,99.09,99.16,99.17,99.17,99.24,99.24,99.23,99.23,98.97,99.04,99.10,99.38,99.38,99.31,99.31,99.38
B-KU870411,95.51,96.28,95.72,93.06,92.57,92.99,97.25,96.83,96.49,96.49,96.63,96.07,96.07,96.01,96.35,96.14,97.52,97.66,97.52,96.49,96.35,96.42,96.42,96.42,96.49,96.49,96.21,96.21,96.76,96.63,96.90,96.63,96.42,96.42,96.63,96.28,96.35,95.94,96.01,96.14,96.28,96.21,96.35,96.42,96.42,96.56,96.76,96.90,96.63,96.76,96.76,96.76,96.76,97.59,97.66,97.80,98.00,97.87,98.00,98.14,98.28,98.28,98.28,98.48,98.55,98.07,98.42,98.76,98.83,98.90,98.90,98.90,98.97,98.62,98.76,98.83,99.59,99.31,99.10,99.79,99.79,,100.00,99.45,99.17,99.04,99.10,99.10,99.10,99.45,99.17,99.31,99.66,99.31,99.38,99.52,99.52,99.59,99.59,98.69,98.76,98.69,98.69,98.76,99.17,99.10,99.24,99.17,99.17,99.17,99.04,99.04,99.04,99.04,98.97,99.31,99.31,99.31,99.38,99.38,99.10,99.24,99.10,99.17,99.16,99.23,99.24,99.24,99.31,99.31,99.30,99.30,99.04,99.10,99.17,99.45,99.45,99.38,99.38,99.45
B-KU870389,95.51,96.28,95.72,93.06,92.57,92.99,97.25,96.83,96.49,96.49,96.63,96.07,96.07,96.01,96.35,96.14,97.52,97.66,97.52,96.49,96.35,96.42,96.42,96.42,96.49,96.49,96.21,96.21,96.76,96.63,96.90,96.63,96.42,96.42,96.63,96.28,96.35,95.94,96.01,96.14,96.28,96.21,96.35,96.42,96.42,96.56,96.76,96.90,96.63,96.76,96.76,96.76,96.76,97.59,97.66,97.80,98.00,97.87,98.00,98.14,98.28,98.28,98.28,98.48,98.55,98.07,98.42,98.76,98.83,98.90,98.90,98.90,98.97,98.62,98.76,98.83,99.59,99.31,99.10,99.79,99.79,100.00,,99.45,99.17,99.04,99.10,99.10,99.10,99.45,99.17,99.31,99.66,99.31,99.38,99.52,99.52,99.59,99.59,98.69,98.76,98.69,98.69,98.76,99.17,99.10,99.24,99.17,99.17,99.17,99.04,99.04,99.04,99.04,98.97,99.31,99.31,99.31,99.38,99.38,99.10,99.24,99.10,99.17,99.16,99.23,99.24,99.24,99.31,99.31,99.30,99.30,99.04,99.10,99.17,99.45,99.45,99.38,99.38,99.45
B-MF997041,95.51,96.28,95.72,93.06,92.57,92.99,97.38,96.83,96.49,96.49,96.63,95.94,95.94,95.87,96.21,96.01,97.38,97.52,97.38,96.35,96.21,96.28,96.28,96.28,96.35,96.35,96.21,96.21,96.63,96.63,96.63,96.49,96.28,96.28,96.49,96.14,96.21,95.80,95.87,96.01,96.14,96.07,96.21,96.28,96.28,96.42,96.63,96.76,96.63,96.76,96.76,96.76,96.76,97.45,97.52,97.66,97.87,97.73,97.87,98.00,98.14,98.14,98.14,98.35,98.42,98.07,98.28,98.62,98.69,98.76,98.76,98.76,98.97,98.62,98.76,98.83,99.45,99.17,98.97,99.38,99.38,99.45,99.45,,99.04,98.90,98.97,98.97,99.10,99.45,99.04,99.17,99.52,99.17,99.24,99.38,99.38,99.45,99.45,98.55,98.62,98.55,98.55,98.62,99.04,98.97,99.10,99.04,99.04,99.04,98.90,98.90,98.90,98.90,98.83,99.17,99.17,99.17,99.24,99.24,98.97,99.10,98.97,99.04,99.02,99.09,99.10,99.10,99.17,99.17,99.16,99.16,98.90,98.97,99.04,99.31,99.31,99.24,99.24,99.31
B-OP850382,94.81,95.58,95.86,92.36,91.87,92.29,96.83,96.56,96.35,96.21,96.35,95.73,95.73,95.66,96.01,95.80,97.11,97.25,97.11,96.07,95.94,96.01,96.01,96.01,96.07,96.07,95.80,95.80,96.35,96.21,96.35,96.21,96.14,96.14,96.21,95.87,95.94,95.59,95.59,95.73,95.87,95.80,96.07,96.01,96.01,96.14,96.35,96.49,96.35,96.49,96.49,96.49,96.49,97.18,97.25,97.38,97.73,97.59,97.59,97.87,97.87,97.87,97.87,98.07,98.14,97.66,98.14,98.35,98.42,98.48,98.48,98.48,98.55,98.21,98.35,98.42,99.17,98.90,98.97,99.10,99.10,99.17,99.17,99.04,,99.72,99.79,99.79,99.79,99.04,99.45,99.17,99.24,99.59,99.38,99.52,99.52,99.59,99.59,98.28,98.35,98.28,98.28,98.48,98.76,98.69,98.83,98.76,98.76,98.76,98.62,98.62,98.62,98.62,98.55,99.04,99.04,98.90,98.97,98.97,98.69,98.83,98.69,98.76,98.74,98.81,98.83,98.97,98.90,98.90,98.88,98.88,98.62,98.69,98.76,99.04,99.04,98.97,98.97,99.04
B-OP850381,94.53,95.30,95.58,92.08,91.58,92.01,96.69,96.56,96.35,96.21,96.35,95.52,95.52,95.45,95.80,95.59,96.97,97.11,96.97,95.94,95.80,95.87,95.87,95.87,95.94,95.94,95.66,95.66,96.21,96.07,96.21,96.07,96.01,96.01,96.07,95.73,95.80,95.39,95.45,95.59,95.73,95.66,95.94,95.87,95.87,96.01,96.35,96.35,96.21,96.35,96.35,96.35,96.35,97.04,97.11,97.25,97.59,97.45,97.45,97.59,97.73,97.73,97.73,97.93,98.00,97.52,98.00,98.21,98.28,98.35,98.35,98.35,98.42,98.07,98.21,98.28,99.04,98.76,98.83,98.97,98.97,99.04,99.04,98.90,99.72,,99.79,99.79,99.79,98.90,99.31,99.04,99.10,99.45,99.24,99.38,99.38,99.45,99.45,98.14,98.21,98.14,98.14,98.35,98.62,98.55,98.69,98.62,98.62,98.62,98.48,98.48,98.48,98.48,98.42,98.76,98.76,98.76,98.83,98.83,98.55,98.69,98.55,98.62,98.61,98.68,98.69,98.83,98.76,98.76,98.74,98.74,98.48,98.55,98.62,98.90,98.90,98.83,98.83,98.90
B-OP850384,94.67,95.44,95.72,92.22,91.73,92.15,96.76,96.63,96.42,96.28,96.42,95.59,95.59,95.52,95.87,95.66,97.04,97.18,97.04,96.01,95.87,95.94,95.94,95.94,96.01,96.01,95.73,95.73,96.28,96.14,96.28,96.14,96.07,96.07,96.14,95.80,95.87,95.45,95.52,95.66,95.94,95.87,96.01,95.94,95.94,96.07,96.42,96.42,96.28,96.42,96.42,96.42,96.42,97.11,97.18,97.31,97.66,97.52,97.52,97.66,97.80,97.80,97.80,98.00,98.07,97.59,98.07,98.28,98.35,98.42,98.42,98.42,98.48,98.14,98.28,98.35,99.10,98.83,98.90,99.04,99.04,99.10,99.10,98.97,99.79,99.79,,99.86,99.86,98.97,99.38,99.10,99.17,99.52,99.31,99.45,99.45,99.52,99.52,98.21,98.28,98.21,98.21,98.42,98.69,98.62,98.76,98.69,98.69,98.69,98.55,98.55,98.55,98.55,98.48,98.83,98.83,98.83,98.90,98.90,98.62,98.76,98.62,98.69,98.68,98.74,98.76,98.90,98.83,98.83,98.81,98.81,98.55,98.62,98.69,98.97,98.97,98.90,98.90,98.97
B-OP850383,94.53,95.30,95.58,92.08,91.58,92.01,96.76,96.63,96.42,96.28,96.56,95.59,95.59,95.52,95.87,95.66,97.04,97.18,97.04,96.01,95.87,95.94,95.94,95.94,96.01,96.01,95.73,95.73,96.28,96.14,96.28,96.14,96.07,96.07,96.14,95.80,95.87,95.45,95.52,95.66,95.80,95.73,96.01,95.94,95.94,96.07,96.42,96.42,96.28,96.42,96.42,96.42,96.42,97.11,97.18,97.31,97.66,97.52,97.52,97.66,97.80,97.80,97.80,98.00,98.07,97.59,98.07,98.28,98.35,98.42,98.42,98.42,98.48,98.14,98.28,98.35,99.10,98.83,98.90,99.04,99.04,99.10,99.10,98.97,99.79,99.79,99.86,,99.86,98.97,99.38,99.10,99.17,99.52,99.31,99.45,99.45,99.52,99.52,98.21,98.28,98.21,98.21,98.42,98.69,98.62,98.76,98.69,98.69,98.69,98.55,98.55,98.55,98.55,98.48,98.83,98.83,98.83,98.90,98.90,98.62,98.76,98.62,98.69,98.68,98.74,98.76,98.90,98.83,98.83,98.81,98.81,98.55,98.62,98.69,98.97,98.97,98.90,98.90,98.97
B-OP850379,94.67,95.44,95.72,92.22,91.73,92.15,96.90,96.63,96.42,96.28,96.42,95.59,95.59,95.52,95.87,95.66,97.04,97.18,97.04,96.01,95.87,95.94,95.94,95.94,96.01,96.01,95.73,95.73,96.28,96.14,96.28,96.14,96.07,96.07,96.14,95.80,95.87,95.45,95.52,95.66,95.80,95.73,96.01,95.94,95.94,96.07,96.42,96.42,96.42,96.56,96.56,96.56,96.56,97.11,97.18,97.31,97.66,97.52,97.52,97.66,97.80,97.80,97.80,98.00,98.07,97.59,98.07,98.28,98.35,98.42,98.42,98.42,98.48,98.14,98.28,98.35,99.10,98.83,98.90,99.04,99.04,99.10,99.10,99.10,99.79,99.79,99.86,99.86,,98.97,99.38,99.10,99.17,99.52,99.31,99.45,99.45,99.52,99.52,98.21,98.28,98.21,98.21,98.42,98.69,98.62,98.76,98.69,98.69,98.69,98.55,98.55,98.55,98.55,98.48,98.83,98.83,98.83,98.90,98.90,98.62,98.76,98.62,98.69,98.68,98.74,98.76,98.90,98.83,98.83,98.81,98.81,98.55,98.62,98.69,98.97,98.97,98.90,98.90,98.97
B-LC260283,95.23,96.00,95.44,92.78,92.29,92.71,97.38,96.69,96.35,96.35,96.49,95.94,95.94,96.01,96.21,96.01,97.45,97.52,97.38,96.49,96.35,96.42,96.42,96.42,96.49,96.49,96.21,96.21,96.63,96.49,96.76,96.63,96.28,96.28,96.49,96.14,96.21,95.80,95.87,96.01,96.14,96.07,96.21,96.28,96.28,96.42,96.63,96.76,96.49,96.63,96.63,96.63,96.63,97.66,97.73,97.66,97.87,97.73,97.93,98.00,98.14,98.14,98.14,98.35,98.42,97.93,98.28,98.76,98.83,98.76,98.76,98.76,98.83,98.48,98.62,98.69,99.45,99.17,98.97,99.38,99.38,99.45,99.45,99.45,99.04,98.90,98.97,98.97,98.97,,99.04,99.31,99.52,99.17,99.24,99.38,99.38,99.45,99.45,98.55,98.62,98.55,98.55,98.62,99.04,98.97,99.10,99.04,99.04,99.04,98.90,98.90,98.90,98.90,98.83,99.17,99.17,99.17,99.24,99.24,98.97,99.10,98.97,99.04,99.16,99.23,99.24,99.24,99.31,99.31,99.30,99.30,98.90,98.97,99.04,99.31,99.31,99.24,99.24,99.31
