,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
B-MZ546115,86.35,86.69,86.66,86.66,86.66,86.69,95.97,97.18,96.53,96.59,96.63,96.69,96.69,96.66,96.66,96.75,96.72,96.53,96.44,96.16,96.19,96.28,96.28,95.64,97.12,97.07,96.90,97.00,97.00,97.00,96.97,96.44,96.93,96.78,96.87,98.51,98.58,98.48,98.51,98.33,98.39,98.42,98.54,98.61,98.67,98.51,98.58,98.67,98.67,98.79,98.58,98.22,98.20,98.20,98.54,98.42,98.45,98.45,98.51,98.53,98.76,98.76,98.73,98.67,98.73,99.45,99.50,,99.69,99.63,99.63,99.63,98.76,98.85,98.73,98.73,98.73,98.76,98.73,98.82,98.98,99.04,99.04,99.04,99.04,99.04,99.01,99.01,99.01,99.04,98.98,98.98,98.95,99.15,98.98,99.16,99.13,99.16,99.13,99.23,99.16,99.23,99.32,99.23,97.24,97.37,97.15,97.62,97.77,98.02,94.80,94.02,94.02,93.93,93.96,93.96,94.08,94.20,94.46,93.90,94.15,93.87,93.90,95.45,94.12,94.06,94.15,94.15,93.87,93.90,93.75,93.65,93.68,93.72,93.68,93.65,93.78,93.84,93.87,94.09
B-KX880417,86.41,86.75,86.72,86.72,86.75,86.78,96.07,97.31,96.72,96.78,96.81,96.87,96.87,96.84,96.84,96.87,96.84,96.59,96.50,96.22,96.25,96.41,96.41,95.74,97.24,97.20,97.03,97.12,97.12,97.12,97.09,96.56,97.06,96.90,97.00,98.76,98.82,98.73,98.76,98.58,98.64,98.67,98.79,98.85,98.92,98.76,98.82,98.92,98.92,98.98,98.76,98.41,98.45,98.45,98.73,98.61,98.64,98.64,98.70,98.78,99.01,99.01,98.98,98.85,98.92,99.57,99.63,99.69,,99.88,99.88,99.88,98.95,99.04,98.92,98.92,98.92,99.01,98.98,99.07,99.23,99.29,99.29,99.29,99.29,99.29,99.26,99.26,99.26,99.29,99.23,99.23,99.20,99.40,99.23,99.41,99.38,99.41,99.38,99.47,99.41,99.47,99.57,99.47,97.49,97.55,97.28,97.74,97.89,98.20,94.92,94.09,94.15,94.06,94.09,94.09,94.20,94.26,94.58,94.02,94.27,93.99,94.02,95.57,94.24,94.12,94.21,94.21,93.99,94.02,93.87,93.78,93.81,93.84,93.81,93.78,93.90,93.96,93.99,94.21
B-KU550266,86.35,86.69,86.66,86.66,86.66,86.69,96.00,97.24,96.66,96.72,96.75,96.81,96.81,96.78,96.78,96.81,96.78,96.53,96.44,96.16,96.19,96.35,96.35,95.61,97.18,97.14,96.97,97.06,97.06,97.06,97.03,96.44,96.93,96.78,96.87,98.70,98.76,98.67,98.70,98.51,98.58,98.61,98.73,98.79,98.85,98.70,98.76,98.85,98.85,98.92,98.70,98.34,98.39,98.39,98.67,98.54,98.58,98.58,98.64,98.72,98.95,98.95,98.92,98.79,98.85,99.51,99.57,99.63,99.88,,99.88,99.88,98.89,98.98,98.85,98.85,98.85,98.95,98.92,99.01,99.16,99.23,99.23,99.23,99.23,99.23,99.20,99.20,99.20,99.23,99.16,99.16,99.13,99.33,99.16,99.35,99.32,99.35,99.32,99.41,99.35,99.41,99.50,99.41,97.37,97.43,97.21,97.68,97.83,98.14,94.86,94.02,94.09,93.99,94.02,94.02,94.14,94.20,94.52,93.96,94.21,93.93,93.96,95.51,94.18,94.06,94.15,94.15,93.93,93.96,93.81,93.72,93.75,93.78,93.75,93.72,93.84,93.90,93.93,94.15
B-KU550265,86.41,86.75,86.72,86.72,86.72,86.75,96.07,97.24,96.72,96.78,96.81,96.87,96.87,96.84,96.84,96.87,96.84,96.53,96.44,96.16,96.19,96.35,96.35,95.61,97.18,97.14,96.97,97.06,97.06,97.06,97.03,96.44,96.93,96.78,96.87,98.70,98.76,98.67,98.70,98.51,98.58,98.61,98.73,98.79,98.85,98.70,98.76,98.85,98.85,98.92,98.70,98.34,98.39,98.39,98.67,98.54,98.58,98.58,98.64,98.72,98.95,98.95,98.92,98.79,98.85,99.51,99.57,99.63,99.88,99.88,,99.88,98.89,98.98,98.85,98.85,98.85,98.95,98.92,99.01,99.16,99.23,99.23,99.23,99.23,99.23,99.20,99.20,99.20,99.23,99.16,99.16,99.13,99.33,99.16,99.35,99.32,99.35,99.32,99.41,99.35,99.41,99.50,99.41,97.37,97.43,97.21,97.68,97.83,98.14,94.86,94.09,94.15,94.06,94.09,94.09,94.14,94.26,94.58,93.96,94.21,93.93,93.96,95.57,94.18,94.06,94.15,94.15,93.93,93.96,93.81,93.72,93.75,93.78,93.75,93.72,93.90,93.96,93.99,94.21
B-KU550263,86.35,86.69,86.66,86.66,86.66,86.69,96.00,97.24,96.66,96.72,96.75,96.81,96.81,96.78,96.78,96.81,96.78,96.53,96.44,96.16,96.19,96.35,96.35,95.61,97.18,97.14,96.97,97.06,97.06,97.06,97.03,96.44,96.93,96.78,96.87,98.70,98.76,98.67,98.70,98.51,98.58,98.61,98.73,98.79,98.85,98.70,98.76,98.85,98.85,98.92,98.70,98.34,98.39,98.39,98.67,98.54,98.58,98.58,98.64,98.72,98.95,98.95,98.92,98.79,98.85,99.51,99.57,99.63,99.88,99.88,99.88,,98.89,98.98,98.85,98.85,98.85,98.95,98.92,99.01,99.16,99.23,99.23,99.23,99.23,99.23,99.20,99.20,99.20,99.23,99.16,99.16,99.13,99.33,99.16,99.35,99.32,99.35,99.32,99.41,99.35,99.41,99.50,99.41,97.37,97.43,97.21,97.68,97.83,98.14,94.86,94.02,94.09,93.99,94.02,94.02,94.14,94.20,94.52,93.96,94.21,93.93,93.96,95.51,94.18,94.06,94.15,94.15,93.93,93.96,93.81,93.72,93.75,93.78,93.75,93.72,93.84,93.90,93.93,94.15
B-LC325463,86.56,86.97,86.93,86.93,86.93,86.97,96.30,97.43,96.78,96.84,96.87,96.93,96.93,96.90,96.90,96.93,96.90,96.72,96.63,96.35,96.44,96.53,96.53,95.90,97.31,97.32,97.09,97.18,97.18,97.18,97.15,96.69,97.18,97.03,97.12,98.76,98.82,98.73,98.76,98.58,98.64,98.67,98.79,98.85,98.92,98.82,98.82,98.92,98.92,98.98,98.76,98.34,98.45,98.45,98.73,98.61,98.64,98.64,98.70,98.72,99.07,99.07,99.04,98.92,98.98,98.58,98.64,98.76,98.95,98.89,98.89,98.89,,99.41,99.29,99.29,99.29,99.01,98.98,99.07,99.23,99.29,99.35,99.35,99.35,99.35,99.32,99.32,99.32,99.35,99.23,99.23,99.20,98.96,98.92,99.04,99.01,99.04,99.01,99.10,99.04,99.10,99.32,99.23,97.43,97.55,97.34,97.80,97.89,98.20,94.92,94.15,94.21,94.12,94.15,94.15,94.30,94.38,94.71,94.15,94.40,94.12,94.15,95.63,94.18,94.02,94.12,94.12,93.99,94.02,93.87,93.65,93.62,93.72,93.65,93.65,94.02,94.02,94.06,94.27
B-MH704719,86.50,86.90,86.87,86.87,86.87,86.90,96.54,97.62,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.84,96.75,96.47,96.50,96.72,96.72,96.06,97.49,97.51,97.28,97.37,97.37,97.37,97.34,96.87,97.37,97.21,97.31,98.98,99.04,98.95,98.98,98.79,98.85,98.89,99.01,99.07,99.13,99.04,99.04,99.13,99.13,99.13,98.92,98.50,98.54,98.54,98.89,98.76,98.79,98.79,98.85,98.84,99.16,99.16,99.13,99.01,99.07,98.74,98.73,98.85,99.04,98.98,98.98,98.98,99.41,,99.75,99.75,99.75,99.16,99.13,99.23,99.38,99.44,99.50,99.50,99.50,99.50,99.47,99.47,99.47,99.50,99.38,99.38,99.35,99.06,99.01,99.13,99.10,99.13,99.10,99.26,99.20,99.20,99.41,99.32,97.62,97.74,97.52,97.99,98.05,98.42,94.92,94.21,94.21,94.12,94.15,94.15,94.33,94.38,94.71,94.15,94.40,94.12,94.15,95.76,94.24,94.09,94.12,94.12,93.99,94.02,93.87,93.65,93.62,93.72,93.65,93.65,93.96,94.02,94.06,94.27
B-LC541985,86.53,87.00,86.97,86.97,86.97,87.00,96.37,97.55,96.90,96.97,97.00,97.06,97.06,97.03,97.03,97.06,97.03,96.72,96.63,96.35,96.38,96.59,96.59,95.93,97.43,97.38,97.15,97.24,97.24,97.24,97.21,96.75,97.24,97.09,97.18,98.79,98.85,98.76,98.79,98.61,98.67,98.70,98.82,98.89,98.95,98.85,98.85,98.95,98.95,99.01,98.79,98.37,98.42,98.42,98.76,98.64,98.67,98.67,98.73,98.72,99.04,99.04,99.01,98.89,98.95,98.61,98.61,98.73,98.92,98.85,98.85,98.85,99.29,99.75,,99.81,99.81,99.04,99.01,99.10,99.26,99.32,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.26,99.26,99.23,98.93,98.89,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.49,97.62,97.52,97.99,97.93,98.30,94.80,94.21,94.21,94.12,94.15,94.15,94.33,94.38,94.77,94.15,94.40,94.12,94.15,95.76,94.24,94.09,94.12,94.12,93.99,94.09,93.87,93.65,93.62,93.72,93.65,93.65,93.99,94.06,94.06,94.21
B-LC228326,86.53,86.93,86.90,86.90,86.90,86.93,96.37,97.55,96.90,96.97,97.00,97.06,97.06,97.03,97.03,97.06,97.03,96.72,96.63,96.35,96.38,96.59,96.59,95.93,97.43,97.38,97.15,97.24,97.24,97.24,97.21,96.75,97.24,97.09,97.18,98.79,98.85,98.82,98.85,98.61,98.67,98.70,98.82,98.89,98.95,98.85,98.85,98.95,98.95,99.01,98.79,98.37,98.42,98.42,98.76,98.64,98.67,98.67,98.73,98.72,99.04,99.04,99.01,98.89,98.95,98.61,98.61,98.73,98.92,98.85,98.85,98.85,99.29,99.75,99.81,,99.88,99.04,99.01,99.10,99.26,99.32,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.26,99.26,99.23,98.93,98.89,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.49,97.62,97.52,97.99,97.93,98.30,94.80,94.21,94.21,94.12,94.15,94.15,94.33,94.38,94.71,94.15,94.40,94.12,94.15,95.70,94.18,94.02,94.06,94.06,93.93,93.96,93.81,93.59,93.56,93.65,93.59,93.59,93.93,93.99,93.99,94.21
B-LC228315,86.66,87.06,87.03,87.03,87.03,87.06,96.37,97.55,96.90,96.97,97.00,97.06,97.06,97.03,97.03,97.06,97.03,96.78,96.69,96.35,96.38,96.66,96.66,95.93,97.43,97.38,97.15,97.24,97.24,97.24,97.21,96.75,97.24,97.09,97.18,98.79,98.85,98.76,98.79,98.61,98.67,98.70,98.82,98.89,98.95,98.85,98.85,98.95,98.95,99.01,98.79,98.37,98.42,98.42,98.76,98.64,98.67,98.67,98.73,98.72,99.04,99.04,99.01,98.89,98.95,98.61,98.61,98.73,98.92,98.85,98.85,98.85,99.29,99.75,99.81,99.88,,99.04,99.01,99.10,99.26,99.32,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.26,99.26,99.23,98.93,98.89,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.49,97.62,97.52,97.99,97.93,98.30,94.86,94.27,94.27,94.18,94.21,94.21,94.39,94.44,94.83,94.21,94.46,94.18,94.21,95.76,94.24,94.09,94.12,94.12,93.99,94.02,93.87,93.65,93.62,93.72,93.65,93.65,93.99,94.06,94.06,94.27
B-MT732498,86.28,86.69,86.66,86.66,86.59,86.63,96.13,97.43,96.84,96.90,96.93,97.00,97.00,96.97,96.97,96.93,96.90,96.69,96.59,96.28,96.32,96.56,96.56,95.84,97.31,97.32,97.09,97.18,97.18,97.18,97.15,96.63,97.12,97.03,97.06,98.89,98.95,98.85,98.89,98.70,98.76,98.79,98.92,98.98,99.04,98.89,98.95,99.04,99.04,99.10,98.89,98.56,98.58,98.58,98.92,98.79,98.82,98.82,98.89,98.78,99.13,99.13,99.10,98.98,99.04,98.68,98.70,98.76,99.01,98.95,98.95,98.95,99.01,99.16,99.04,99.04,99.04,,99.97,99.63,99.35,99.41,99.47,99.47,99.47,99.47,99.47,99.54,99.54,99.50,99.66,99.66,99.63,99.02,98.92,99.10,99.07,99.10,99.07,99.23,99.16,99.16,99.38,99.29,97.43,97.49,97.40,97.86,97.96,98.27,94.98,94.15,94.21,94.12,94.15,94.15,94.30,94.38,94.71,94.15,94.40,94.12,94.15,95.63,94.37,94.21,94.24,94.24,94.12,94.15,93.99,93.78,93.75,93.84,93.78,93.78,94.02,94.09,94.12,94.27
B-LC386065,86.25,86.66,86.63,86.63,86.56,86.59,96.10,97.40,96.81,96.87,96.90,96.97,96.97,96.93,96.93,96.90,96.87,96.66,96.56,96.25,96.28,96.53,96.53,95.80,97.28,97.29,97.06,97.15,97.15,97.15,97.12,96.59,97.09,97.00,97.03,98.85,98.92,98.82,98.85,98.67,98.73,98.76,98.89,98.95,99.01,98.85,98.92,99.01,99.01,99.07,98.85,98.53,98.54,98.54,98.89,98.76,98.79,98.79,98.85,98.75,99.10,99.10,99.07,98.95,99.01,98.65,98.67,98.73,98.98,98.92,98.92,98.92,98.98,99.13,99.01,99.01,99.01,99.97,,99.60,99.32,99.38,99.44,99.44,99.44,99.44,99.44,99.50,99.50,99.47,99.63,99.63,99.60,98.99,98.89,99.07,99.04,99.07,99.04,99.20,99.13,99.13,99.35,99.26,97.40,97.46,97.37,97.83,97.93,98.24,94.95,94.12,94.18,94.09,94.12,94.12,94.26,94.35,94.67,94.12,94.37,94.09,94.12,95.60,94.33,94.18,94.21,94.21,94.09,94.12,93.96,93.75,93.72,93.81,93.75,93.75,93.99,94.06,94.09,94.24
B-LC514481,86.50,86.78,86.75,86.75,86.69,86.72,96.30,97.52,96.93,97.00,97.03,97.09,97.09,97.06,97.06,97.09,97.06,96.84,96.75,96.47,96.47,96.66,96.66,95.93,97.40,97.41,97.18,97.28,97.28,97.28,97.24,96.72,97.21,97.06,97.15,98.95,99.01,98.92,98.95,98.76,98.82,98.85,98.98,99.04,99.10,98.95,99.01,99.10,99.10,99.16,98.95,98.59,98.58,98.58,98.98,98.85,98.89,98.89,98.95,98.84,99.20,99.20,99.16,99.04,99.10,98.71,98.82,98.82,99.07,99.01,99.01,99.01,99.07,99.23,99.10,99.10,99.10,99.63,99.60,,99.41,99.47,99.54,99.54,99.54,99.54,99.54,99.54,99.54,99.57,99.66,99.66,99.63,99.09,98.98,99.16,99.13,99.16,99.13,99.29,99.23,99.23,99.44,99.35,97.49,97.55,97.46,97.93,98.02,98.33,94.95,94.12,94.18,94.15,94.18,94.18,94.26,94.35,94.67,94.12,94.37,94.09,94.12,95.63,94.27,94.12,94.15,94.15,94.02,94.06,93.90,93.68,93.65,93.75,93.68,93.68,93.99,94.06,94.09,94.30
B-MG599518,86.35,86.69,86.66,86.66,86.66,86.69,96.37,97.65,97.00,97.06,97.09,97.15,97.15,97.12,97.12,97.15,97.12,96.87,96.78,96.50,96.53,96.75,96.75,96.03,97.52,97.54,97.31,97.40,97.40,97.40,97.37,96.84,97.34,97.18,97.28,99.10,99.16,99.07,99.10,98.92,98.98,99.01,99.13,99.20,99.26,99.10,99.16,99.26,99.26,99.32,99.10,98.68,98.73,98.73,99.07,98.95,98.98,98.98,99.04,98.99,99.35,99.35,99.32,99.20,99.26,98.86,98.92,98.98,99.23,99.16,99.16,99.16,99.23,99.38,99.26,99.26,99.26,99.35,99.32,99.41,,99.81,99.63,99.63,99.63,99.63,99.60,99.60,99.60,99.63,99.57,99.57,99.54,99.24,99.13,99.32,99.29,99.32,99.29,99.44,99.38,99.38,99.60,99.50,97.71,97.77,97.62,98.08,98.24,98.48,95.17,94.37,94.43,94.40,94.43,94.43,94.51,94.66,94.92,94.37,94.61,94.33,94.37,95.85,94.46,94.30,94.33,94.33,94.15,94.18,94.02,93.81,93.78,93.87,93.81,93.81,94.18,94.24,94.27,94.49
B-MG599517,86.47,86.81,86.78,86.78,86.78,86.81,96.44,97.71,97.06,97.12,97.15,97.21,97.21,97.18,97.18,97.21,97.18,96.93,96.84,96.56,96.59,96.81,96.81,96.10,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.90,97.40,97.24,97.34,99.16,99.23,99.13,99.16,98.98,99.04,99.07,99.20,99.26,99.32,99.16,99.23,99.32,99.32,99.38,99.16,98.75,98.79,98.79,99.13,99.01,99.04,99.04,99.10,99.06,99.41,99.41,99.38,99.26,99.32,98.92,98.98,99.04,99.29,99.23,99.23,99.23,99.29,99.44,99.32,99.32,99.32,99.41,99.38,99.47,99.81,,99.69,99.69,99.69,99.69,99.66,99.66,99.66,99.69,99.63,99.63,99.60,99.30,99.20,99.38,99.35,99.38,99.35,99.50,99.44,99.44,99.66,99.57,97.77,97.83,97.68,98.14,98.30,98.54,95.14,94.37,94.43,94.40,94.43,94.43,94.51,94.66,94.92,94.37,94.61,94.33,94.37,95.85,94.46,94.30,94.33,94.33,94.21,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.18,94.24,94.27,94.49
B-AB975623,86.53,86.93,86.90,86.90,86.84,86.87,96.44,97.71,97.06,97.12,97.15,97.21,97.21,97.18,97.18,97.21,97.18,96.93,96.84,96.56,96.59,96.81,96.81,96.13,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.97,97.46,97.31,97.40,99.16,99.23,99.13,99.16,98.98,99.04,99.07,99.20,99.26,99.32,99.16,99.23,99.32,99.32,99.38,99.16,98.81,98.85,98.85,99.13,99.07,99.10,99.10,99.16,99.06,99.41,99.41,99.38,99.26,99.32,98.92,98.98,99.04,99.29,99.23,99.23,99.23,99.35,99.50,99.38,99.38,99.38,99.47,99.44,99.54,99.63,99.69,,99.94,99.94,99.94,99.91,99.91,99.91,99.94,99.69,99.69,99.66,99.30,99.20,99.38,99.35,99.38,99.35,99.50,99.44,99.44,99.66,99.57,97.77,97.83,97.68,98.14,98.24,98.54,95.08,94.43,94.49,94.40,94.43,94.43,94.57,94.66,94.98,94.43,94.67,94.40,94.43,95.91,94.46,94.30,94.33,94.33,94.21,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.18,94.24,94.27,94.49
B-AB975625,86.59,87.00,86.97,86.97,86.90,86.93,96.44,97.71,97.12,97.18,97.21,97.28,97.28,97.24,97.24,97.21,97.18,96.93,96.84,96.56,96.66,96.87,96.87,96.13,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.97,97.46,97.31,97.40,99.16,99.23,99.13,99.16,98.98,99.04,99.07,99.20,99.26,99.32,99.23,99.23,99.32,99.32,99.38,99.16,98.81,98.85,98.85,99.13,99.07,99.10,99.10,99.16,99.06,99.41,99.41,99.38,99.26,99.32,98.92,98.98,99.04,99.29,99.23,99.23,99.23,99.35,99.50,99.38,99.38,99.38,99.47,99.44,99.54,99.63,99.69,99.94,,99.94,99.94,99.91,99.91,99.91,99.94,99.69,99.69,99.66,99.30,99.20,99.38,99.35,99.38,99.35,99.50,99.44,99.44,99.66,99.57,97.77,97.83,97.68,98.14,98.24,98.54,95.08,94.49,94.55,94.46,94.49,94.49,94.57,94.66,94.98,94.43,94.67,94.40,94.43,95.91,94.46,94.30,94.33,94.33,94.21,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.18,94.24,94.27,94.49
B-AB975653,86.56,87.00,86.97,86.97,86.90,86.93,96.47,97.71,97.09,97.15,97.18,97.24,97.24,97.21,97.21,97.24,97.21,96.93,96.84,96.56,96.59,96.87,96.87,96.13,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.97,97.46,97.31,97.40,99.16,99.23,99.13,99.16,98.98,99.04,99.07,99.20,99.26,99.32,99.16,99.23,99.32,99.32,99.38,99.16,98.81,98.85,98.85,99.13,99.07,99.10,99.10,99.16,99.06,99.41,99.41,99.38,99.26,99.32,98.92,98.98,99.04,99.29,99.23,99.23,99.23,99.35,99.50,99.38,99.38,99.38,99.47,99.44,99.54,99.63,99.69,99.94,99.94,,99.94,99.91,99.91,99.91,99.94,99.69,99.69,99.66,99.33,99.20,99.38,99.35,99.38,99.35,99.50,99.44,99.44,99.66,99.57,97.77,97.83,97.68,98.14,98.30,98.54,95.14,94.49,94.55,94.46,94.49,94.49,94.64,94.72,95.05,94.49,94.74,94.46,94.49,95.98,94.52,94.37,94.40,94.40,94.27,94.30,94.15,93.93,93.90,93.99,93.93,93.93,94.24,94.30,94.33,94.55
B-AB848007,86.53,86.93,86.90,86.90,86.84,86.87,96.44,97.71,97.06,97.12,97.15,97.21,97.21,97.18,97.18,97.21,97.18,96.93,96.84,96.56,96.59,96.81,96.81,96.13,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.97,97.46,97.31,97.40,99.16,99.23,99.13,99.16,98.98,99.04,99.07,99.20,99.26,99.32,99.16,99.23,99.32,99.32,99.38,99.16,98.81,98.85,98.85,99.13,99.07,99.10,99.10,99.16,99.06,99.41,99.41,99.38,99.26,99.32,98.92,98.98,99.04,99.29,99.23,99.23,99.23,99.35,99.50,99.38,99.38,99.38,99.47,99.44,99.54,99.63,99.69,99.94,99.94,99.94,,99.91,99.91,99.91,99.94,99.69,99.69,99.66,99.30,99.20,99.38,99.35,99.38,99.35,99.50,99.44,99.44,99.66,99.57,97.77,97.83,97.68,98.14,98.24,98.54,95.08,94.43,94.49,94.40,94.43,94.43,94.57,94.66,94.98,94.43,94.67,94.40,94.43,95.91,94.46,94.30,94.33,94.33,94.21,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.18,94.24,94.27,94.49
B-AB975654,86.50,86.90,86.87,86.87,86.81,86.84,96.40,97.68,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.90,96.81,96.53,96.56,96.84,96.84,96.10,97.55,97.57,97.34,97.43,97.43,97.43,97.40,96.93,97.43,97.28,97.37,99.13,99.20,99.10,99.13,98.95,99.01,99.04,99.16,99.23,99.29,99.13,99.20,99.29,99.29,99.35,99.13,98.78,98.82,98.82,99.10,99.04,99.07,99.07,99.13,99.02,99.38,99.38,99.35,99.23,99.29,98.89,98.95,99.01,99.26,99.20,99.20,99.20,99.32,99.47,99.35,99.35,99.35,99.47,99.44,99.54,99.60,99.66,99.91,99.91,99.91,99.91,,99.94,99.94,99.97,99.69,99.69,99.66,99.27,99.16,99.35,99.32,99.35,99.32,99.47,99.41,99.41,99.63,99.54,97.74,97.80,97.65,98.11,98.20,98.51,95.05,94.40,94.46,94.37,94.40,94.40,94.54,94.63,94.95,94.40,94.64,94.37,94.40,95.88,94.43,94.27,94.30,94.30,94.18,94.21,94.06,93.84,93.81,93.90,93.84,93.84,94.15,94.21,94.24,94.46
B-LC751266,86.50,86.90,86.87,86.87,86.81,86.84,96.40,97.68,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.90,96.81,96.53,96.56,96.84,96.84,96.10,97.55,97.57,97.34,97.43,97.43,97.43,97.40,96.93,97.43,97.28,97.37,99.13,99.20,99.10,99.13,98.95,99.01,99.04,99.16,99.23,99.29,99.13,99.20,99.29,99.29,99.35,99.13,98.78,98.82,98.82,99.10,99.04,99.07,99.07,99.13,99.02,99.38,99.38,99.35,99.23,99.29,98.89,98.95,99.01,99.26,99.20,99.20,99.20,99.32,99.47,99.35,99.35,99.35,99.54,99.50,99.54,99.60,99.66,99.91,99.91,99.91,99.91,99.94,,100.00,99.97,99.69,99.69,99.66,99.27,99.16,99.35,99.32,99.35,99.32,99.47,99.41,99.41,99.63,99.54,97.74,97.80,97.65,98.11,98.20,98.51,95.05,94.40,94.46,94.37,94.40,94.40,94.54,94.63,94.95,94.40,94.64,94.37,94.40,95.88,94.49,94.33,94.37,94.37,94.24,94.27,94.12,93.90,93.87,93.96,93.90,93.90,94.15,94.21,94.24,94.46
B-LC751236,86.50,86.90,86.87,86.87,86.81,86.84,96.40,97.68,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.90,96.81,96.53,96.56,96.84,96.84,96.10,97.55,97.57,97.34,97.43,97.43,97.43,97.40,96.93,97.43,97.28,97.37,99.13,99.20,99.10,99.13,98.95,99.01,99.04,99.16,99.23,99.29,99.13,99.20,99.29,99.29,99.35,99.13,98.78,98.82,98.82,99.10,99.04,99.07,99.07,99.13,99.02,99.38,99.38,99.35,99.23,99.29,98.89,98.95,99.01,99.26,99.20,99.20,99.20,99.32,99.47,99.35,99.35,99.35,99.54,99.50,99.54,99.60,99.66,99.91,99.91,99.91,99.91,99.94,100.00,,99.97,99.69,99.69,99.66,99.27,99.16,99.35,99.32,99.35,99.32,99.47,99.41,99.41,99.63,99.54,97.74,97.80,97.65,98.11,98.20,98.51,95.05,94.40,94.46,94.37,94.40,94.40,94.54,94.63,94.95,94.40,94.64,94.37,94.40,95.88,94.49,94.33,94.37,94.37,94.24,94.27,94.12,93.90,93.87,93.96,93.90,93.90,94.15,94.21,94.24,94.46
B-KY616885,86.53,86.93,86.90,86.90,86.84,86.87,96.44,97.71,97.06,97.12,97.15,97.21,97.21,97.18,97.18,97.21,97.18,96.93,96.84,96.56,96.59,96.87,96.87,96.13,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.97,97.46,97.31,97.40,99.16,99.23,99.13,99.16,98.98,99.04,99.07,99.20,99.26,99.32,99.16,99.23,99.32,99.32,99.38,99.16,98.81,98.85,98.85,99.13,99.07,99.10,99.10,99.16,99.06,99.41,99.41,99.38,99.26,99.32,98.92,98.98,99.04,99.29,99.23,99.23,99.23,99.35,99.50,99.38,99.38,99.38,99.50,99.47,99.57,99.63,99.69,99.94,99.94,99.94,99.94,99.97,99.97,99.97,,99.72,99.72,99.69,99.30,99.20,99.38,99.35,99.38,99.35,99.50,99.44,99.44,99.66,99.57,97.77,97.83,97.68,98.14,98.24,98.54,95.08,94.43,94.49,94.40,94.43,94.43,94.57,94.66,94.98,94.43,94.67,94.40,94.43,95.91,94.46,94.30,94.33,94.33,94.21,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.18,94.24,94.27,94.49
