,C-MT732494,C-LC386072,C-MT723913,C-MT410491,C-LC086743,C-LC169969,C-LC169958,C-LC169947,A-KR705197,A-MW715613,A-MG181894,A-MG181773,A-LC105573,A-KJ752157,A-LC514521,A-LC514477,A-LC514510,A-MG181663,A-KJ721766,A-KF716404,A-KF716397,A-MH182454,A-MN479739,A-PP861905,A-PP861895,A-OP850390,A-LC105584,A-MG670755,A-MG670752,A-KC442959,A-LC086798,A-PX211896,A-LC086787,A-LC086809,A-KJ918955,A-LC169991,A-LC169980,A-PP861907,A-PP861961,A-OP850391,A-KF716407,A-KJ721768,A-MN479662,A-MN479658,A-MN479650,A-MN479649,A-MN479603,A-KJ721772,A-KC443341,A-PX211916,A-KJ918889,A-KC443352,A-KJ721763,A-OP717789,A-OP717786,A-PX211879,A-LC228377,A-LC228355,A-LC569337,A-LC569320,A-LC569292,A-LC477570,A-LC228344,A-HQ657134,A-KC443363,A-KC443218,A-KC443003,A-KC834693,A-KU356581,A-HQ641360,B-PX211817,B-PX211819,B-LC228333,B-LC228322,B-OP850397,B-OP850396,B-OP850395,B-OP850394,B-OP850392,B-LC514499,B-LC514488,B-MH520727,B-MH520732,B-MH704734,B-LC228311,B-KX880421,B-KU550307,B-MZ546119,B-KU550308,B-KU550305,B-KU870414,B-KU870392,B-LC541989,B-MF997042,B-KU550306,B-KU550304,B-MG670750,B-MG670758,B-MG670741,B-LC086732,B-LC086721,B-MG670757,B-MG670754,B-LC066668,B-LC066657,B-LC066646,B-LC260290,B-LC325467,B-MH704735,B-MG573362,B-MG573361,B-LC260294,B-LC260288,B-KX880432,B-KU059795,B-KU059784,B-AB975854,B-AB975825,B-KY616892,B-KU059773,B-LC751684,B-LC751714,B-LC469530,B-AB975853,B-AB975823,B-AB848011,B-KC443451,B-KC443196,B-KJ639030,B-KJ639019,B-PX211881,B-KC178727,B-KC443759,B-KC443627,B-KC443319,B-KC442970,B-KU248412,B-KU248401,B-KC178733,B-KU199277
A-KC834693,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,94.01,96.86,97.06,97.06,97.17,97.06,97.69,97.69,97.38,98.01,98.01,97.69,97.59,97.27,97.80,97.59,97.59,97.69,97.80,97.90,97.90,98.43,97.80,97.80,98.01,98.32,98.22,98.01,98.01,98.11,98.32,98.32,98.43,98.53,98.64,98.64,98.74,98.74,98.74,98.74,97.27,97.48,98.11,98.11,97.80,98.22,98.11,98.27,98.43,98.43,98.53,98.53,98.53,98.53,98.53,98.32,98.53,98.53,98.64,,98.43,99.16,96.70,97.06,97.27,97.27,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.17,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.90,97.80,97.59,97.59,97.22,97.75,97.90,97.90,97.90,98.11,98.43,98.43,98.53,98.11
A-KU356581,86.06,85.95,86.27,86.06,86.27,86.27,86.27,86.27,93.69,96.12,96.33,96.33,96.65,96.54,97.17,97.17,96.86,97.48,97.69,97.17,97.27,96.96,97.48,97.27,97.27,97.38,97.48,97.59,97.59,98.11,97.27,97.27,97.48,97.80,97.69,97.48,97.48,97.69,97.90,97.90,97.69,98.01,98.11,98.11,98.22,98.22,98.22,98.22,96.96,97.27,97.80,97.80,97.48,97.90,97.80,97.96,98.11,98.11,98.22,98.22,98.22,98.22,98.22,97.80,98.01,98.01,98.32,98.43,,99.27,96.59,96.96,96.96,96.96,96.65,96.65,96.65,96.65,96.65,96.96,96.96,97.06,97.17,97.17,97.17,97.17,97.17,97.27,97.27,97.27,97.06,97.06,97.17,97.27,97.27,97.27,96.96,96.96,97.17,97.17,97.17,97.06,97.06,97.06,97.06,97.27,97.06,97.06,97.38,97.69,97.75,97.38,97.27,97.27,97.38,97.48,97.45,97.46,97.48,97.48,97.38,97.48,97.59,97.56,97.57,97.59,97.80,97.69,97.48,97.48,97.12,97.64,97.80,97.80,97.80,98.01,98.32,98.32,98.43,98.01
A-HQ641360,86.79,86.69,87.00,86.79,87.00,87.00,87.00,87.00,94.43,96.86,97.06,97.06,97.38,97.27,97.90,97.90,97.59,98.22,98.43,97.90,98.01,97.69,98.22,98.01,98.01,98.11,98.22,98.32,98.32,98.85,98.01,98.01,98.22,98.53,98.43,98.22,98.22,98.32,98.53,98.53,98.43,98.74,98.85,98.85,98.95,98.95,98.95,98.95,97.69,97.90,98.53,98.53,98.22,98.64,98.53,98.69,98.85,98.85,98.95,98.95,98.95,98.95,98.95,98.53,98.74,98.74,99.06,99.16,99.27,,97.33,97.69,97.69,97.69,97.38,97.38,97.38,97.38,97.38,97.69,97.69,97.80,97.90,97.90,97.90,97.90,97.90,98.01,98.01,98.01,97.80,97.80,97.90,98.01,98.01,98.01,97.69,97.69,97.90,97.90,97.90,97.80,97.80,97.80,97.80,98.01,97.80,97.80,98.11,98.43,98.48,98.11,98.01,98.01,98.11,98.22,98.20,98.20,98.22,98.22,98.11,98.22,98.32,98.30,98.31,98.32,98.53,98.43,98.22,98.22,97.85,98.38,98.53,98.53,98.53,98.74,99.06,99.06,99.16,98.74
B-PX211817,86.95,86.84,87.16,86.95,87.16,87.16,87.16,87.16,92.38,94.92,95.55,95.55,95.23,95.13,96.38,96.38,96.07,96.07,96.28,95.75,95.86,95.75,96.07,96.07,96.28,96.17,96.07,96.17,96.17,96.70,96.17,96.28,96.38,96.70,96.59,96.59,96.59,96.49,96.70,96.70,96.59,96.91,97.01,97.01,97.12,97.12,97.12,97.12,96.07,95.96,96.38,96.38,96.28,96.49,96.38,96.70,96.70,96.70,96.80,96.80,96.80,96.80,96.80,96.17,96.70,96.70,96.80,96.70,96.59,97.33,,98.53,98.69,98.69,99.21,99.21,99.21,99.21,99.21,99.32,99.32,98.79,99.11,99.11,99.11,99.11,99.11,99.21,99.21,99.21,98.79,98.79,98.90,99.00,99.00,99.00,98.06,98.27,98.27,98.27,98.27,98.38,98.38,98.38,98.38,98.58,98.58,98.27,98.64,98.79,98.79,98.48,98.38,98.38,98.48,98.58,98.57,98.57,98.58,98.58,98.48,98.58,98.69,98.67,98.68,98.69,98.27,98.17,98.17,98.17,97.22,97.69,97.85,97.85,97.85,97.75,97.85,97.85,98.06,97.85
B-PX211819,87.11,87.00,87.32,87.11,87.32,87.32,87.32,87.32,92.72,95.18,95.60,95.60,95.49,95.39,96.33,96.33,96.02,96.65,96.86,96.12,96.23,96.23,96.54,96.54,96.75,96.65,96.54,96.54,96.54,97.06,96.23,96.23,96.33,96.65,96.54,96.54,96.54,96.44,96.65,96.65,96.54,96.86,96.96,96.96,97.06,97.06,97.06,97.06,96.12,96.44,96.86,96.86,96.33,96.54,96.44,96.96,97.06,97.06,97.17,97.17,97.17,97.17,97.17,96.44,97.06,97.06,97.17,97.06,96.96,97.69,98.53,,98.85,98.85,98.53,98.53,98.53,98.53,98.53,98.85,98.85,98.95,99.06,99.06,99.06,99.06,99.06,99.16,99.16,99.16,98.95,98.95,99.06,99.16,99.16,99.16,98.43,98.43,98.64,98.64,98.64,98.53,98.53,98.32,98.32,98.53,98.53,98.22,98.79,98.95,98.95,98.64,98.53,98.53,98.64,98.74,98.73,98.84,98.74,98.74,98.64,98.74,98.85,98.83,98.84,98.85,98.43,98.32,98.32,98.32,97.38,97.85,98.01,98.01,98.01,98.11,98.22,98.22,98.43,98.01
B-LC228333,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.74,94.97,95.39,95.39,95.28,95.18,96.86,96.86,96.54,96.54,96.96,96.23,96.33,96.23,96.54,96.54,96.75,96.65,96.54,96.65,96.65,97.17,96.12,96.12,96.33,96.65,96.54,96.54,96.54,96.44,96.65,96.65,96.54,96.86,96.96,96.96,97.06,97.06,97.06,97.06,96.02,96.33,96.86,96.86,96.33,96.54,96.44,96.80,96.96,96.96,97.06,97.06,97.06,97.06,97.06,96.65,97.06,97.06,97.17,97.27,96.96,97.69,98.69,98.85,,100.00,98.85,98.85,98.85,98.85,98.85,99.16,99.16,99.27,99.37,99.37,99.37,99.37,99.37,99.48,99.48,99.48,99.48,99.48,99.79,99.69,99.69,99.69,98.53,98.53,98.74,98.74,98.74,98.64,98.64,98.64,98.64,98.85,98.85,98.74,99.06,99.27,99.21,98.95,98.85,98.85,98.95,99.06,99.04,99.05,99.06,99.06,98.95,99.06,99.16,99.15,99.15,99.16,98.74,98.64,98.64,98.64,97.54,98.17,98.32,98.32,98.32,98.11,98.22,98.22,98.53,98.11
B-LC228322,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.74,94.97,95.39,95.39,95.28,95.18,96.86,96.86,96.54,96.54,96.96,96.23,96.33,96.23,96.54,96.54,96.75,96.65,96.54,96.65,96.65,97.17,96.12,96.12,96.33,96.65,96.54,96.54,96.54,96.44,96.65,96.65,96.54,96.86,96.96,96.96,97.06,97.06,97.06,97.06,96.02,96.33,96.86,96.86,96.33,96.54,96.44,96.80,96.96,96.96,97.06,97.06,97.06,97.06,97.06,96.65,97.06,97.06,97.17,97.27,96.96,97.69,98.69,98.85,100.00,,98.85,98.85,98.85,98.85,98.85,99.16,99.16,99.27,99.37,99.37,99.37,99.37,99.37,99.48,99.48,99.48,99.48,99.48,99.79,99.69,99.69,99.69,98.53,98.53,98.74,98.74,98.74,98.64,98.64,98.64,98.64,98.85,98.85,98.74,99.06,99.27,99.21,98.95,98.85,98.85,98.95,99.06,99.04,99.05,99.06,99.06,98.95,99.06,99.16,99.15,99.15,99.16,98.74,98.64,98.64,98.64,97.54,98.17,98.32,98.32,98.32,98.11,98.22,98.22,98.53,98.11
B-OP850397,87.11,87.00,87.32,87.11,87.32,87.32,87.32,87.32,92.32,94.65,95.28,95.28,94.97,94.86,96.33,96.33,96.02,96.23,96.44,95.91,96.02,96.12,96.44,96.44,96.65,96.54,96.44,96.33,96.33,96.86,96.02,96.02,96.23,96.54,96.65,96.44,96.44,96.33,96.54,96.54,96.44,96.75,96.86,96.86,96.96,96.96,96.96,96.96,95.70,95.91,96.44,96.44,96.02,96.23,96.12,96.49,96.65,96.65,96.75,96.75,96.75,96.75,96.75,96.12,96.75,96.75,96.86,96.75,96.65,97.38,99.21,98.53,98.85,98.85,,100.00,100.00,100.00,100.00,99.48,99.48,98.95,99.27,99.27,99.27,99.27,99.27,99.37,99.37,99.37,98.95,98.95,99.06,99.16,99.16,99.16,98.22,98.43,98.43,98.43,98.43,98.53,98.53,98.32,98.32,98.53,98.74,98.43,98.74,98.95,98.90,98.64,98.53,98.53,98.64,98.74,98.73,98.73,98.74,98.74,98.64,98.74,98.85,98.83,98.84,98.85,98.43,98.32,98.32,98.32,97.22,97.85,98.01,98.01,98.01,97.80,97.90,97.90,98.22,98.01
B-OP850396,87.11,87.00,87.32,87.11,87.32,87.32,87.32,87.32,92.32,94.65,95.28,95.28,94.97,94.86,96.33,96.33,96.02,96.23,96.44,95.91,96.02,96.12,96.44,96.44,96.65,96.54,96.44,96.33,96.33,96.86,96.02,96.02,96.23,96.54,96.65,96.44,96.44,96.33,96.54,96.54,96.44,96.75,96.86,96.86,96.96,96.96,96.96,96.96,95.70,95.91,96.44,96.44,96.02,96.23,96.12,96.49,96.65,96.65,96.75,96.75,96.75,96.75,96.75,96.12,96.75,96.75,96.86,96.75,96.65,97.38,99.21,98.53,98.85,98.85,100.00,,100.00,100.00,100.00,99.48,99.48,98.95,99.27,99.27,99.27,99.27,99.27,99.37,99.37,99.37,98.95,98.95,99.06,99.16,99.16,99.16,98.22,98.43,98.43,98.43,98.43,98.53,98.53,98.32,98.32,98.53,98.74,98.43,98.74,98.95,98.90,98.64,98.53,98.53,98.64,98.74,98.73,98.73,98.74,98.74,98.64,98.74,98.85,98.83,98.84,98.85,98.43,98.32,98.32,98.32,97.22,97.85,98.01,98.01,98.01,97.80,97.90,97.90,98.22,98.01
B-OP850395,87.11,87.00,87.32,87.11,87.32,87.32,87.32,87.32,92.32,94.65,95.28,95.28,94.97,94.86,96.33,96.33,96.02,96.23,96.44,95.91,96.02,96.12,96.44,96.44,96.65,96.54,96.44,96.33,96.33,96.86,96.02,96.02,96.23,96.54,96.65,96.44,96.44,96.33,96.54,96.54,96.44,96.75,96.86,96.86,96.96,96.96,96.96,96.96,95.70,95.91,96.44,96.44,96.02,96.23,96.12,96.49,96.65,96.65,96.75,96.75,96.75,96.75,96.75,96.12,96.75,96.75,96.86,96.75,96.65,97.38,99.21,98.53,98.85,98.85,100.00,100.00,,100.00,100.00,99.48,99.48,98.95,99.27,99.27,99.27,99.27,99.27,99.37,99.37,99.37,98.95,98.95,99.06,99.16,99.16,99.16,98.22,98.43,98.43,98.43,98.43,98.53,98.53,98.32,98.32,98.53,98.74,98.43,98.74,98.95,98.90,98.64,98.53,98.53,98.64,98.74,98.73,98.73,98.74,98.74,98.64,98.74,98.85,98.83,98.84,98.85,98.43,98.32,98.32,98.32,97.22,97.85,98.01,98.01,98.01,97.80,97.90,97.90,98.22,98.01
B-OP850394,87.11,87.00,87.32,87.11,87.32,87.32,87.32,87.32,92.32,94.65,95.28,95.28,94.97,94.86,96.33,96.33,96.02,96.23,96.44,95.91,96.02,96.12,96.44,96.44,96.65,96.54,96.44,96.33,96.33,96.86,96.02,96.02,96.23,96.54,96.65,96.44,96.44,96.33,96.54,96.54,96.44,96.75,96.86,96.86,96.96,96.96,96.96,96.96,95.70,95.91,96.44,96.44,96.02,96.23,96.12,96.49,96.65,96.65,96.75,96.75,96.75,96.75,96.75,96.12,96.75,96.75,96.86,96.75,96.65,97.38,99.21,98.53,98.85,98.85,100.00,100.00,100.00,,100.00,99.48,99.48,98.95,99.27,99.27,99.27,99.27,99.27,99.37,99.37,99.37,98.95,98.95,99.06,99.16,99.16,99.16,98.22,98.43,98.43,98.43,98.43,98.53,98.53,98.32,98.32,98.53,98.74,98.43,98.74,98.95,98.90,98.64,98.53,98.53,98.64,98.74,98.73,98.73,98.74,98.74,98.64,98.74,98.85,98.83,98.84,98.85,98.43,98.32,98.32,98.32,97.22,97.85,98.01,98.01,98.01,97.80,97.90,97.90,98.22,98.01
B-OP850392,87.11,87.00,87.32,87.11,87.32,87.32,87.32,87.32,92.32,94.65,95.28,95.28,94.97,94.86,96.33,96.33,96.02,96.23,96.44,95.91,96.02,96.12,96.44,96.44,96.65,96.54,96.44,96.33,96.33,96.86,96.02,96.02,96.23,96.54,96.65,96.44,96.44,96.33,96.54,96.54,96.44,96.75,96.86,96.86,96.96,96.96,96.96,96.96,95.70,95.91,96.44,96.44,96.02,96.23,96.12,96.49,96.65,96.65,96.75,96.75,96.75,96.75,96.75,96.12,96.75,96.75,96.86,96.75,96.65,97.38,99.21,98.53,98.85,98.85,100.00,100.00,100.00,100.00,,99.48,99.48,98.95,99.27,99.27,99.27,99.27,99.27,99.37,99.37,99.37,98.95,98.95,99.06,99.16,99.16,99.16,98.22,98.43,98.43,98.43,98.43,98.53,98.53,98.32,98.32,98.53,98.74,98.43,98.74,98.95,98.90,98.64,98.53,98.53,98.64,98.74,98.73,98.73,98.74,98.74,98.64,98.74,98.85,98.83,98.84,98.85,98.43,98.32,98.32,98.32,97.22,97.85,98.01,98.01,98.01,97.80,97.90,97.90,98.22,98.01
B-LC514499,87.00,86.90,87.21,87.00,87.21,87.21,87.21,87.21,92.64,95.18,95.81,95.81,95.49,95.39,96.65,96.65,96.33,96.54,96.75,96.23,96.33,96.23,96.75,96.54,96.75,96.65,96.54,96.65,96.65,97.17,96.33,96.33,96.75,96.86,96.75,96.75,96.75,96.65,96.86,96.86,96.75,97.06,97.17,97.17,97.27,97.27,97.27,97.27,96.02,96.23,96.75,96.75,96.33,96.54,96.44,96.80,96.96,96.96,97.06,97.06,97.06,97.06,97.06,96.44,97.06,97.06,97.17,97.06,96.96,97.69,99.32,98.85,99.16,99.16,99.48,99.48,99.48,99.48,99.48,,99.79,99.27,99.58,99.58,99.58,99.58,99.58,99.69,99.69,99.69,99.27,99.27,99.37,99.48,99.48,99.48,98.53,98.74,98.74,98.74,98.74,98.85,98.85,98.64,98.64,98.85,99.06,98.74,99.06,99.27,99.21,98.95,98.85,98.85,98.95,99.06,99.04,99.05,99.06,99.06,98.95,99.06,99.16,99.15,99.15,99.16,98.74,98.64,98.85,98.85,97.54,98.17,98.32,98.32,98.32,98.11,98.22,98.22,98.53,98.32
B-LC514488,86.79,86.69,87.00,86.79,87.00,87.00,87.00,87.00,92.64,95.18,95.81,95.81,95.49,95.39,96.65,96.65,96.33,96.54,96.75,96.44,96.54,96.23,96.54,96.54,96.75,96.65,96.54,96.65,96.65,97.17,96.33,96.33,96.54,96.86,96.75,96.75,96.75,96.65,96.86,96.86,96.75,97.06,97.17,97.17,97.27,97.27,97.27,97.27,96.02,96.23,96.75,96.75,96.33,96.54,96.44,96.80,96.96,96.96,97.06,97.06,97.06,97.06,97.06,96.44,97.06,97.06,97.17,97.06,96.96,97.69,99.32,98.85,99.16,99.16,99.48,99.48,99.48,99.48,99.48,99.79,,99.27,99.58,99.58,99.58,99.58,99.58,99.69,99.69,99.69,99.27,99.27,99.37,99.48,99.48,99.48,98.53,98.74,98.74,98.74,98.74,98.85,98.85,98.64,98.64,98.85,99.06,98.74,99.06,99.27,99.21,98.95,98.85,98.85,98.95,99.06,99.04,99.05,99.06,99.06,98.95,99.06,99.16,99.15,99.15,99.16,98.74,98.64,98.64,98.64,97.54,98.17,98.32,98.32,98.32,98.11,98.22,98.22,98.53,98.32
B-MH520727,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,92.74,95.28,95.70,95.70,95.60,95.49,96.54,96.54,96.23,96.65,96.86,96.33,96.44,96.54,96.65,96.65,96.86,96.75,96.65,96.75,96.75,97.27,96.23,96.23,96.44,96.75,96.65,96.65,96.65,96.54,96.75,96.75,96.65,96.96,97.06,97.06,97.17,97.17,97.17,97.17,95.91,96.44,96.96,96.96,96.65,96.65,96.54,96.91,97.06,97.06,97.17,97.17,97.17,97.17,97.17,96.54,97.17,97.17,97.27,97.17,97.06,97.80,98.79,98.95,99.27,99.27,98.95,98.95,98.95,98.95,98.95,99.27,99.27,,99.48,99.48,99.48,99.48,99.48,99.58,99.58,99.58,99.37,99.37,99.48,99.58,99.58,99.58,98.64,98.64,98.85,98.85,98.85,98.74,98.74,98.74,98.74,98.95,98.95,98.64,99.16,99.37,99.32,99.06,98.95,98.95,99.06,99.16,99.15,99.15,99.16,99.16,99.06,99.16,99.27,99.26,99.26,99.27,98.85,98.74,98.74,98.74,97.64,98.27,98.43,98.43,98.43,98.22,98.32,98.32,98.64,98.22
B-MH520732,86.90,86.79,87.11,86.90,87.11,87.11,87.11,87.11,92.85,95.18,95.81,95.81,95.49,95.39,96.65,96.65,96.33,96.75,96.96,96.44,96.54,96.44,96.75,96.75,96.96,96.86,96.75,96.86,96.86,97.38,96.54,96.54,96.75,97.06,96.96,96.96,96.96,96.86,97.06,97.06,96.96,97.27,97.38,97.38,97.48,97.48,97.48,97.48,96.02,96.33,96.86,96.86,96.54,96.75,96.65,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.65,97.27,97.27,97.38,97.27,97.17,97.90,99.11,99.06,99.37,99.37,99.27,99.27,99.27,99.27,99.27,99.58,99.58,99.48,,99.79,99.79,99.58,99.58,99.69,99.69,99.69,99.48,99.48,99.58,99.69,99.69,99.69,98.74,98.74,98.95,98.95,98.95,98.85,98.85,98.85,98.85,99.06,99.27,98.74,99.27,99.48,99.42,99.16,99.06,99.06,99.16,99.27,99.26,99.26,99.27,99.27,99.16,99.27,99.37,99.36,99.37,99.37,98.95,98.85,98.85,98.85,97.75,98.38,98.53,98.53,98.53,98.32,98.43,98.43,98.74,98.53
B-MH704734,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.95,95.18,95.81,95.81,95.49,95.39,96.65,96.65,96.33,96.75,96.96,96.44,96.54,96.44,96.75,96.75,96.96,96.86,96.75,96.86,96.86,97.38,96.54,96.54,96.75,97.27,96.96,96.96,96.96,96.86,97.06,97.06,96.96,97.27,97.38,97.38,97.48,97.48,97.48,97.48,96.02,96.33,96.86,96.86,96.54,96.75,96.65,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.65,97.27,97.27,97.38,97.27,97.17,97.90,99.11,99.06,99.37,99.37,99.27,99.27,99.27,99.27,99.27,99.58,99.58,99.48,99.79,,100.00,99.58,99.58,99.69,99.69,99.69,99.48,99.48,99.58,99.69,99.69,99.69,98.74,98.74,98.95,98.95,98.95,98.85,98.85,98.85,98.85,99.06,99.27,98.74,99.27,99.48,99.42,99.16,99.06,99.06,99.16,99.27,99.26,99.26,99.27,99.27,99.16,99.27,99.37,99.36,99.37,99.37,98.95,98.85,98.85,98.85,97.75,98.38,98.53,98.53,98.53,98.32,98.43,98.43,98.74,98.53
B-LC228311,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.95,95.18,95.81,95.81,95.49,95.39,96.65,96.65,96.33,96.75,96.96,96.44,96.54,96.44,96.75,96.75,96.96,96.86,96.75,96.86,96.86,97.38,96.54,96.54,96.75,97.27,96.96,96.96,96.96,96.86,97.06,97.06,96.96,97.27,97.38,97.38,97.48,97.48,97.48,97.48,96.02,96.33,96.86,96.86,96.54,96.75,96.65,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.65,97.27,97.27,97.38,97.27,97.17,97.90,99.11,99.06,99.37,99.37,99.27,99.27,99.27,99.27,99.27,99.58,99.58,99.48,99.79,100.00,,99.58,99.58,99.69,99.69,99.69,99.48,99.48,99.58,99.69,99.69,99.69,98.74,98.74,98.95,98.95,98.95,98.85,98.85,98.85,98.85,99.06,99.27,98.74,99.27,99.48,99.42,99.16,99.06,99.06,99.16,99.27,99.26,99.26,99.27,99.27,99.16,99.27,99.37,99.36,99.37,99.37,98.95,98.85,98.85,98.85,97.75,98.38,98.53,98.53,98.53,98.32,98.43,98.43,98.74,98.53
B-KX880421,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.85,95.18,95.60,95.60,95.49,95.39,96.65,96.65,96.33,96.75,96.96,96.44,96.54,96.44,96.75,96.75,96.96,96.86,96.75,96.86,96.86,97.38,96.33,96.33,96.54,96.86,96.75,96.75,96.75,96.65,96.86,96.86,96.75,97.06,97.17,97.17,97.27,97.27,97.27,97.27,96.02,96.33,96.86,96.86,96.54,96.75,96.65,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.65,97.27,97.27,97.38,97.27,97.17,97.90,99.11,99.06,99.37,99.37,99.27,99.27,99.27,99.27,99.27,99.58,99.58,99.48,99.58,99.58,99.58,,99.79,99.90,99.90,99.90,99.48,99.48,99.58,99.69,99.69,99.69,98.74,98.74,98.95,98.95,98.95,98.85,98.85,98.85,98.85,99.06,99.06,98.74,99.27,99.48,99.42,99.16,99.06,99.06,99.16,99.27,99.26,99.26,99.27,99.27,99.16,99.27,99.37,99.36,99.37,99.37,98.95,98.85,98.85,98.85,97.75,98.38,98.53,98.53,98.53,98.32,98.43,98.43,98.74,98.32
B-KU550307,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,92.85,95.18,95.60,95.60,95.70,95.60,96.65,96.65,96.33,96.75,96.96,96.44,96.54,96.44,96.75,96.75,96.96,96.86,96.75,96.86,96.86,97.38,96.33,96.33,96.54,96.86,96.75,96.75,96.75,96.65,96.86,96.86,96.75,97.06,97.17,97.17,97.27,97.27,97.27,97.27,96.02,96.33,96.86,96.86,96.54,96.75,96.65,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.65,97.27,97.27,97.38,97.27,97.17,97.90,99.11,99.06,99.37,99.37,99.27,99.27,99.27,99.27,99.27,99.58,99.58,99.48,99.58,99.58,99.58,99.79,,99.90,99.90,99.90,99.48,99.48,99.58,99.69,99.69,99.69,98.74,98.74,98.95,98.95,98.95,98.85,98.85,98.85,98.85,99.06,99.06,98.74,99.27,99.48,99.42,99.16,99.06,99.06,99.16,99.27,99.26,99.26,99.27,99.27,99.16,99.27,99.37,99.36,99.37,99.37,98.95,98.85,98.85,98.85,97.75,98.38,98.53,98.53,98.53,98.32,98.43,98.43,98.74,98.32
B-MZ546119,86.79,86.69,87.00,86.79,87.00,87.00,87.00,87.00,92.95,95.28,95.70,95.70,95.60,95.49,96.75,96.75,96.44,96.86,97.06,96.54,96.65,96.54,96.86,96.86,97.06,96.96,96.86,96.96,96.96,97.48,96.44,96.44,96.65,96.96,96.86,96.86,96.86,96.75,96.96,96.96,96.86,97.17,97.27,97.27,97.38,97.38,97.38,97.38,96.12,96.44,96.96,96.96,96.65,96.86,96.75,97.12,97.27,97.27,97.38,97.38,97.38,97.38,97.38,96.75,97.38,97.38,97.48,97.38,97.27,98.01,99.21,99.16,99.48,99.48,99.37,99.37,99.37,99.37,99.37,99.69,99.69,99.58,99.69,99.69,99.69,99.90,99.90,,100.00,100.00,99.58,99.58,99.69,99.79,99.79,99.79,98.85,98.85,99.06,99.06,99.06,98.95,98.95,98.95,98.95,99.16,99.16,98.85,99.37,99.58,99.53,99.27,99.16,99.16,99.27,99.37,99.36,99.37,99.37,99.37,99.27,99.37,99.48,99.47,99.47,99.48,99.06,98.95,98.95,98.95,97.85,98.48,98.64,98.64,98.64,98.43,98.53,98.53,98.85,98.43
B-KU550308,86.79,86.69,87.00,86.79,87.00,87.00,87.00,87.00,92.95,95.28,95.70,95.70,95.60,95.49,96.75,96.75,96.44,96.86,97.06,96.54,96.65,96.54,96.86,96.86,97.06,96.96,96.86,96.96,96.96,97.48,96.44,96.44,96.65,96.96,96.86,96.86,96.86,96.75,96.96,96.96,96.86,97.17,97.27,97.27,97.38,97.38,97.38,97.38,96.12,96.44,96.96,96.96,96.65,96.86,96.75,97.12,97.27,97.27,97.38,97.38,97.38,97.38,97.38,96.75,97.38,97.38,97.48,97.38,97.27,98.01,99.21,99.16,99.48,99.48,99.37,99.37,99.37,99.37,99.37,99.69,99.69,99.58,99.69,99.69,99.69,99.90,99.90,100.00,,100.00,99.58,99.58,99.69,99.79,99.79,99.79,98.85,98.85,99.06,99.06,99.06,98.95,98.95,98.95,98.95,99.16,99.16,98.85,99.37,99.58,99.53,99.27,99.16,99.16,99.27,99.37,99.36,99.37,99.37,99.37,99.27,99.37,99.48,99.47,99.47,99.48,99.06,98.95,98.95,98.95,97.85,98.48,98.64,98.64,98.64,98.43,98.53,98.53,98.85,98.43
B-KU550305,86.79,86.69,87.00,86.79,87.00,87.00,87.00,87.00,92.95,95.28,95.70,95.70,95.60,95.49,96.75,96.75,96.44,96.86,97.06,96.54,96.65,96.54,96.86,96.86,97.06,96.96,96.86,96.96,96.96,97.48,96.44,96.44,96.65,96.96,96.86,96.86,96.86,96.75,96.96,96.96,96.86,97.17,97.27,97.27,97.38,97.38,97.38,97.38,96.12,96.44,96.96,96.96,96.65,96.86,96.75,97.12,97.27,97.27,97.38,97.38,97.38,97.38,97.38,96.75,97.38,97.38,97.48,97.38,97.27,98.01,99.21,99.16,99.48,99.48,99.37,99.37,99.37,99.37,99.37,99.69,99.69,99.58,99.69,99.69,99.69,99.90,99.90,100.00,100.00,,99.58,99.58,99.69,99.79,99.79,99.79,98.85,98.85,99.06,99.06,99.06,98.95,98.95,98.95,98.95,99.16,99.16,98.85,99.37,99.58,99.53,99.27,99.16,99.16,99.27,99.37,99.36,99.37,99.37,99.37,99.27,99.37,99.48,99.47,99.47,99.48,99.06,98.95,98.95,98.95,97.85,98.48,98.64,98.64,98.64,98.43,98.53,98.53,98.85,98.43
